ParkID,Name,Official,Advisories,SpecialFeatures,Facilities,Washrooms,StreetNumber,StreetName,EWStreet,NSStreet,NeighbourhoodName,NeighbourhoodURL,Hectare,GoogleMapDest
155,Gaston Park,1,N,N,Y,N,3470,Crowley Drive,Crowley Drive,Tyne Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,1.5,"49.236117, -123.031094"
247,McAuley Park,1,N,N,N,N,699,Kingsway,Kingsway,Fraser Street,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,0.0,"49.256978, -123.09"
147,Tisdall Park,1,N,Y,Y,N,6210,Tisdall Street,W 49th Avenue,Tisdall Street,Oakridge,https://vancouver.ca/news-calendar/oakridge.aspx,5.02,"49.227725, -123.119693"
98,McCleery Golf Course,1,N,N,Y,N,7188,Macdonald Street,W 55th Avenue,MacDonald Street,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,48.57,"49.220813, -123.170066"
198,Tecumseh Park,1,N,N,Y,N,1751,E 45th Avenue,E 45th Avenue,Bruce Street,Victoria-Fraserview,https://vancouver.ca/news-calendar/victoria-fraserview.aspx,2.09,"49.229752, -123.069846"
168,Riley Park,1,N,N,Y,N,50,E 30th Avenue,E 30th Avenue,Ontario Street,Riley Park,https://vancouver.ca/news-calendar/renfrew.aspx,2.7,"49.241987, -123.104361"
127,Riverview Park,1,N,N,Y,N,1751,W 66th Avenue,W 66th Avenue,Angus Drive,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,2.38,"49.212238, -123.147342"
63,W.C. Shelly Park,1,N,N,Y,N,1500,E 8th Avenue,E 8th Avenue,Woodland Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,0.3,"49.263034, -123.072931"
56,Oxford Park,1,N,N,Y,N,2050,Wall Street,Oxford Street,Wall Street,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,0.22,"49.286172, -123.062223"
103,Killarney Park,1,N,N,Y,N,6205,Kerr Street,Waverley Street,Kerr Street,Killarney,https://vancouver.ca/news-calendar/killarney.aspx,13.36,"49.227998, -123.04413"
246,Creekway Park,1,N,N,N,N,2901,E Hastings Street,McGill Street,,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,8.0,"49.288336, -123.036982"
181,Strathcona Park,1,N,N,Y,Y,857,Malkin Avenue,Malkin Avenue,Hawks Avenue,Strathcona,https://vancouver.ca/news-calendar/strathcona.aspx,10.07,"49.275276, -123.084674"
137,Jonathan Rogers Park,1,N,N,Y,Y,110,W 7th Avenue,W 7th Avenue,Manitoba Street,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,1.4,"49.264334, -123.108174"
